pattern,position,missing_rate,accuracy,macro_f1,mae,pearson,selection_score,accuracy_drop,macro_f1_drop,mae_increase,pearson_drop
audio_vision,middle,0.48,0.6222527472527473,0.6027695560386165,0.5997618450735219,0.6335350204749896,1.0863641152452255,0.004120879120879106,0.00443426787099932,0.005626558421811589,0.003556500618911662
audio_vision,end,0.1,0.6236263736263736,0.6040249783928732,0.5951571797537566,0.6360526042199871,1.0912882876744212,0.0027472527472527375,0.0031788455167426344,0.0010218931020462563,0.0010389168739141086
audio_vision,end,0.2,0.6208791208791209,0.6013088043484409,0.5961272648380875,0.6357549700293829,1.0880319581683018,0.005494505494505475,0.005895019561174886,0.001991978186377197,0.0013365510645183543
audio_vision,end,0.3,0.6222527472527473,0.6034150487909326,0.5968853854798938,0.6346568262724206,1.0888505286933796,0.004120879120879106,0.003788775118683252,0.002750098828183445,0.0024346948214806208
audio_vision,end,0.4,0.6195054945054945,0.601120401356808,0.5969077161283637,0.6344003699727548,1.086293842297472,0.006868131868131844,0.0060834225528078045,0.0027724294766533486,0.0026911511211463734
audio_vision,end,0.48,0.6222527472527473,0.6027934272671619,0.5973778826921441,0.6340095466994937,1.0874585032936197,0.004120879120879106,0.0044103966424539065,0.003242596040433754,0.003081974394407494
all_modalities,begin,0.1,0.6057692307692307,0.5890223308441228,0.605683327024383,0.6242186975114878,1.061820196599515,0.020604395604395642,0.018181493065492993,0.011548040372672652,0.012872823582413373
all_modalities,begin,0.2,0.5975274725274725,0.5858732196793662,0.6236249273684474,0.6024919043935221,1.0324588922307765,0.028846153846153855,0.021330604230249572,0.029489640716737098,0.03459961670037914
all_modalities,begin,0.3,0.5645604395604396,0.5580598113071242,0.6424418394466617,0.5845186697337864,0.9819680211792451,0.061813186813186816,0.04914401260249157,0.04830655279495133,0.0525728513601148
all_modalities,begin,0.4,0.5494505494505495,0.5458274104714349,0.6541557168149246,0.5767136960820166,0.9590021773497203,0.07692307692307687,0.0613764134381809,0.06002043016321423,0.0603778250118846
all_modalities,begin,0.48,0.5247252747252747,0.5249534127538319,0.678705263210609,0.5411429219936781,0.8964200189448579,0.10164835164835162,0.08225041115578391,0.08456997655889864,0.09594859910022313
all_modalities,middle,0.1,0.6126373626373627,0.5982772233859889,0.6034986781465544,0.6277712335219762,1.0751737873713265,0.013736263736263687,0.008926600523626926,0.009363391494844109,0.009320287571925046
all_modalities,middle,0.2,0.5934065934065934,0.5829950795481408,0.6291179608983489,0.5956312524518956,1.021346841775449,0.03296703296703296,0.02420874436147502,0.03498267424663859,0.04146026864200558
all_modalities,middle,0.3,0.6002747252747253,0.5961530569961271,0.6309980570446126,0.5980394772212573,1.0364430199562311,0.026098901098901117,0.011050766913488719,0.03686277039290231,0.03905204387264394
