version,file_name,matched_id,modality,detection,start,end,length,valid_length,relative_start,relative_length
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,33,36,4,51,0.6470588235294118,0.0784313725490196
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,39,39,1,51,0.7647058823529411,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,42,42,1,51,0.8235294117647058,0.0196078431372549
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,5,5,1,89,0.056179775280898875,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,19,19,1,89,0.21348314606741572,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,26,26,1,89,0.29213483146067415,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,35,35,1,89,0.39325842696629215,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,37,37,1,89,0.4157303370786517,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,39,39,1,89,0.43820224719101125,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,41,41,1,89,0.4606741573033708,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,44,44,1,89,0.4943820224719101,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,46,46,1,89,0.5168539325842697,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,48,48,1,89,0.5393258426966292,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,56,57,2,89,0.6292134831460674,0.02247191011235955
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,61,61,1,89,0.6853932584269663,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,67,68,2,89,0.7528089887640449,0.02247191011235955
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,72,72,1,89,0.8089887640449438,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,75,75,1,89,0.8426966292134831,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,79,79,1,89,0.8876404494382022,0.011235955056179775
unaligned,unaligned_version_22.pkl,,audio,heuristic_internal_zeros,85,85,1,89,0.9550561797752809,0.011235955056179775
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,1,1,1,41,0.024390243902439025,0.024390243902439025
unaligned,unaligned_version_22.pkl,,vision,heuristic_internal_zeros,4,7,4,41,0.0975609756097561,0.0975609756097561
